seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
29415,2021,4764,Mfiondu Kabengele,NA,PF,23,2,NBA,TOT,39,280,0.371,16.1,0.438,0.27,0.09,0.056,0.022,0.562,0.513,0.667,0.375,0.2,0,0.26,0.5,0.923,0.101,9,0.26,0.231,0,0
29416,2021,4764,Mfiondu Kabengele,NA,PF,23,2,NBA,LAC,23,94,0.281,17,0.438,0.125,0.188,0.063,0.063,0.563,0.357,0.75,0.333,0,0,0.222,0.8,0.75,0.063,2,0.278,0.4,0,0
29417,2021,4764,Mfiondu Kabengele,NA,PF,23,2,NBA,CLE,16,186,0.421,15.6,0.439,0.351,0.035,0.053,0,0.561,0.6,0.65,0.5,0.333,NA,0.281,0.4,1,0.123,7,0.25,0.125,0,0
29418,2021,4182,Michael Carter-Williams,NA,SG,29,8,NBA,ORL,31,800,0.389,10.3,0.774,0.304,0.307,0.104,0.059,0.226,0.431,0.622,0.337,0.25,0.25,0.246,0.344,0.867,0.03,7,0.197,0.417,0,0
29419,2021,4766,Michael Porter Jr.,NA,SF,22,2,NBA,DEN,61,1912,0.542,15.9,0.532,0.226,0.131,0.073,0.102,0.468,0.628,0.838,0.486,0.417,0.494,0.445,0.714,0.918,0.095,75,0.23,0.489,2,0
29420,2021,4657,Mikal Bridges,NA,SF,24,3,NBA,PHO,72,2348,0.543,14.3,0.529,0.278,0.135,0.082,0.034,0.471,0.647,0.801,0.5,0.455,0.435,0.425,0.764,0.985,0.058,38,0.597,0.441,0,0
29421,2021,3779,Mike Conley,NA,PG,33,14,NBA,UTA,51,1498,0.444,17.2,0.477,0.109,0.209,0.117,0.041,0.523,0.479,0.557,0.478,0.44,0.385,0.412,0.253,0.594,0,0,0.179,0.433,3,0
29422,2021,4548,Mike James,1990,PG,30,2,NBA,BRK,13,236,0.37,14.5,0.663,0.13,0.272,0.152,0.109,0.337,0.377,0.167,0.48,0.357,0.4,0.355,0.174,0.455,0.022,1,0.226,0.571,0,0
29423,2021,4183,Mike Muscala,NA,C,29,8,NBA,OKC,35,645,0.446,19.9,0.311,0.131,0.075,0.041,0.064,0.689,0.614,0.714,0.5,0.818,0.412,0.37,0.765,0.971,0.015,4,0.255,0.426,1,0
29424,2021,4118,Mike Scott,NA,PF,32,9,NBA,PHI,51,852,0.36,21,0.265,0.085,0.076,0.052,0.052,0.735,0.411,0.5,0.5,0.273,0.273,0.342,0.739,1,0.009,1,0.277,0.465,0,0
29425,2021,4658,Miles Bridges,NA,PF,22,3,NBA,CHO,66,1932,0.503,14,0.534,0.338,0.141,0.019,0.035,0.466,0.593,0.729,0.42,0.167,0.227,0.4,0.716,0.819,0.145,82,0.324,0.436,3,0
29426,2021,4660,Mitchell Robinson,NA,C,22,3,NBA,NYK,31,853,0.653,1.3,1,0.909,0.091,0,0,0,0.653,0.688,0.313,NA,NA,NA,0.626,NA,0.528,84,NA,NA,0,0
29427,2021,4767,Miye Oni,NA,SG,23,2,NBA,UTA,54,519,0.354,21.9,0.111,0.061,0.051,0,0,0.889,0.455,0.5,0.4,NA,NA,0.341,0.6,1,0.03,2,0.568,0.38,0,0
29428,2021,4661,Mo Bamba,NA,C,22,3,NBA,ORL,46,725,0.472,13.6,0.608,0.306,0.166,0.063,0.073,0.392,0.568,0.728,0.46,0.263,0.409,0.322,0.577,1,0.15,38,0.102,0.417,0,0
29429,2021,4551,Monte Morris,NA,PG,25,4,NBA,DEN,47,1196,0.481,14,0.654,0.235,0.186,0.119,0.114,0.346,0.534,0.769,0.333,0.543,0.364,0.381,0.4,0.804,0.003,1,0.276,0.27,2,0
29430,2021,4349,Montrezl Harrell,NA,C,27,6,NBA,LAL,69,1580,0.622,4.7,0.983,0.577,0.259,0.114,0.033,0.017,0.632,0.75,0.506,0.435,0.25,0,0.605,NA,0.214,118,0.1,0,1,0
29431,2021,4662,Moritz Wagner,NA,C,23,3,NBA,TOT,45,722,0.454,12.6,0.603,0.306,0.271,0.009,0.017,0.397,0.529,0.643,0.419,0,0.5,0.341,0.863,0.968,0.105,22,0.187,0.294,0,0
29432,2021,4662,Moritz Wagner,NA,C,23,3,NBA,WAS,25,375,0.508,11.8,0.656,0.303,0.311,0.016,0.025,0.344,0.613,0.73,0.526,0,0.667,0.31,0.918,0.923,0.148,17,0.19,0.25,0,0
29433,2021,4662,Moritz Wagner,NA,C,23,3,NBA,BOS,9,61,0.286,11.9,0.571,0.357,0.214,0,0,0.429,0.25,0,0.667,NA,NA,0.333,1,1,0.071,0,0.167,1,0,0
29434,2021,4662,Moritz Wagner,NA,C,23,3,NBA,ORL,11,286,0.409,13.6,0.538,0.301,0.226,0,0.011,0.462,0.44,0.643,0.19,NA,0,0.372,0.727,1,0.054,5,0.186,0.25,0,0
29435,2021,4768,Moses Brown,NA,C,21,2,NBA,OKC,43,920,0.545,2.1,1,0.772,0.224,0.004,0,0,0.545,0.628,0.267,0,NA,NA,0.507,NA,0.321,78,NA,NA,0,0
29436,2021,4769,Mychal Mulder,NA,PG,26,2,NBA,GSW,60,766,0.449,21,0.192,0.147,0.034,0.004,0.008,0.808,0.667,0.795,0.333,0,0,0.397,0.912,1,0.057,14,0.322,0.377,0,0
29437,2021,4350,Myles Turner,NA,C,24,6,NBA,IND,47,1455,0.477,14.3,0.523,0.329,0.148,0.028,0.019,0.477,0.606,0.725,0.438,0.333,0.25,0.335,0.759,1,0.063,26,0.218,0.311,0,0
29438,2021,4865,Naji Marshall,NA,SF,23,1,NBA,NOP,32,700,0.392,13.1,0.603,0.321,0.163,0.086,0.033,0.397,0.421,0.552,0.294,0.333,0,0.349,0.547,0.966,0.038,6,0.482,0.325,2,0
29439,2021,4770,Nassir Little,NA,PF,20,2,NBA,POR,48,640,0.467,15.6,0.521,0.269,0.114,0.054,0.084,0.479,0.575,0.689,0.526,0.444,0.357,0.35,0.56,0.821,0.09,13,0.163,0.385,0,0
29440,2021,4866,Nate Darling,NA,SG,22,1,NBA,CHO,7,26,0.286,25.9,0,0,0,0,0,1,NA,NA,NA,NA,NA,0.286,NA,1,0,0,0.143,0,0,0
29441,2021,4867,Nate Hinton,NA,SG,21,1,NBA,DAL,21,93,0.357,17.6,0.548,0.143,0.119,0.071,0.214,0.452,0.478,0.5,0.2,0.667,0.556,0.211,0.182,0.75,0.024,1,0.158,0.667,0,0
29442,2021,4868,Nathan Knight,NA,PF,23,1,NBA,ATL,33,279,0.37,10.1,0.67,0.41,0.21,0.04,0.01,0.33,0.463,0.561,0.381,0,0,0.182,0.774,1,0.18,15,0.515,0.176,0,0
29443,2021,4771,Naz Reid,NA,C,21,2,NBA,MIN,70,1347,0.523,10,0.701,0.418,0.263,0.017,0.002,0.299,0.597,0.704,0.464,0.1,0,0.351,0.626,1,0.084,43,0.224,0.333,1,0
29444,2021,4351,Nemanja Bjelica,NA,PF,32,6,NBA,TOT,37,595,0.454,13.7,0.566,0.311,0.219,0.015,0.02,0.434,0.559,0.689,0.395,0.333,0.5,0.318,0.645,0.889,0.005,0,0.153,0.385,0,0
29445,2021,4351,Nemanja Bjelica,NA,PF,32,6,NBA,SAC,26,439,0.46,12.7,0.613,0.327,0.247,0.013,0.027,0.387,0.565,0.673,0.432,0.5,0.5,0.293,0.635,0.882,0.007,0,0.155,0.444,0,0
29446,2021,4351,Nemanja Bjelica,NA,PF,32,6,NBA,MIA,11,156,0.435,16.8,0.413,0.261,0.13,0.022,0,0.587,0.526,0.75,0.167,0,NA,0.37,0.7,0.9,0,0,0.148,0.25,0,0
29447,2021,4278,Nerlens Noel,NA,C,26,7,NBA,NYK,64,1547,0.614,3.7,0.987,0.686,0.202,0.081,0.018,0.013,0.623,0.706,0.489,0.278,0.5,0,0.737,NA,0.39,76,0.333,0,0,0
29448,2021,4772,Nic Claxton,NA,C,21,2,NBA,BRK,32,594,0.621,3.6,0.966,0.697,0.234,0.021,0.014,0.034,0.636,0.762,0.353,0,0,0.2,0.753,1,0.31,41,0.4,0,0,0
29449,2021,4869,Nick Richards,NA,PF,23,1,NBA,CHO,18,63,0.444,5.2,0.889,0.667,0.222,0,0,0.111,0.5,0.5,0.5,NA,NA,0,1,NA,0.333,3,0,NA,0,0
29450,2021,4773,Nickeil Alexander-Walker,NA,SG,22,2,NBA,NOP,46,1007,0.419,15.5,0.522,0.236,0.164,0.041,0.081,0.478,0.485,0.481,0.52,0.421,0.459,0.347,0.345,0.921,0.015,7,0.283,0.387,1,1
29451,2021,4870,Nico Mannion,NA,PG,19,1,NBA,GSW,30,364,0.342,18.2,0.474,0.114,0.184,0.096,0.079,0.526,0.315,0.769,0.286,0.091,0,0.367,0.353,0.727,0.009,0,0.083,0.6,0,0
29452,2021,3841,Nicolas Batum,NA,SF,32,13,NBA,LAC,67,1835,0.464,19.1,0.34,0.177,0.024,0.053,0.085,0.66,0.579,0.699,0.6,0.455,0.4,0.404,0.778,0.991,0.046,18,0.434,0.432,0,0
29453,2021,4774,Nicolò Melli,NA,PF,30,2,NBA,TOT,45,566,0.326,18.3,0.397,0.149,0.099,0.078,0.071,0.603,0.411,0.476,0.214,0.545,0.4,0.271,0.478,1,0.043,5,0.224,0.263,0,0
29454,2021,4774,Nicolò Melli,NA,PF,30,2,NBA,NOP,22,241,0.254,19,0.373,0.153,0.102,0.051,0.068,0.627,0.364,0.333,0.167,0.667,0.5,0.189,0.5,1,0,0,0.162,0.167,0,0
29455,2021,4774,Nicolò Melli,NA,PF,30,2,NBA,DAL,23,325,0.378,17.9,0.415,0.146,0.098,0.098,0.073,0.585,0.441,0.583,0.25,0.5,0.333,0.333,0.467,1,0.073,5,0.271,0.308,0,0
29456,2021,4352,Nikola Jokić,NA,C,25,6,NBA,DEN,72,2488,0.566,10.6,0.817,0.244,0.35,0.14,0.082,0.183,0.606,0.753,0.572,0.481,0.528,0.388,0.484,0.967,0.037,45,0.034,0.375,3,0
29457,2021,4047,Nikola Vučević,NA,C,30,10,NBA,TOT,70,2348,0.477,14.5,0.685,0.143,0.251,0.166,0.125,0.315,0.513,0.683,0.484,0.466,0.437,0.4,0.616,0.994,0.018,19,0.02,0.333,0,0
29458,2021,4047,Nikola Vučević,NA,C,30,10,NBA,ORL,44,1500,0.48,15,0.683,0.126,0.24,0.175,0.142,0.317,0.515,0.693,0.495,0.465,0.45,0.406,0.608,1,0.015,10,0.017,0.4,0,0
29459,2021,4047,Nikola Vučević,NA,C,30,10,NBA,CHI,26,848,0.471,13.7,0.689,0.174,0.273,0.15,0.092,0.311,0.509,0.671,0.466,0.466,0.4,0.388,0.632,0.983,0.023,9,0.026,0.25,0,0
29460,2021,4282,Noah Vonleh,NA,PF,25,7,NBA,BRK,4,11,0,18.6,0.333,0.333,0,0,0,0.667,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0
29461,2021,4353,Norman Powell,NA,SG-SF,27,6,NBA,TOT,69,2205,0.477,14.3,0.547,0.275,0.181,0.053,0.038,0.453,0.532,0.647,0.416,0.367,0.486,0.411,0.547,0.836,0.044,32,0.317,0.53,2,0
29462,2021,4353,Norman Powell,NA,SG,27,6,NBA,TOR,42,1277,0.498,14.6,0.525,0.265,0.184,0.042,0.034,0.475,0.552,0.647,0.471,0.292,0.579,0.439,0.555,0.814,0.044,19,0.327,0.534,1,0
29463,2021,4353,Norman Powell,NA,SF,27,6,NBA,POR,27,928,0.443,13.7,0.582,0.29,0.176,0.071,0.045,0.418,0.502,0.647,0.323,0.44,0.375,0.361,0.534,0.887,0.043,13,0.299,0.523,1,0
29464,2021,4776,Norvel Pelle,NA,C,27,2,NBA,TOT,13,84,0.533,1.6,1,0.733,0.267,0,0,0,0.533,0.545,0.5,NA,NA,NA,0.5,NA,0.4,4,NA,NA,0,0
29465,2021,4776,Norvel Pelle,NA,C,27,2,NBA,BRK,3,28,0.429,1.2,1,0.857,0.143,0,0,0,0.429,0.5,0,NA,NA,NA,0.667,NA,0.429,2,NA,NA,0,0
29466,2021,4776,Norvel Pelle,NA,C,27,2,NBA,SAC,1,4,0,1.4,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,0
29467,2021,4776,Norvel Pelle,NA,C,27,2,NBA,NYK,9,52,0.714,2.1,1,0.571,0.429,0,0,0,0.714,0.75,0.667,NA,NA,NA,0.4,NA,0.286,2,NA,NA,0,0
29468,2021,4555,OG Anunoby,NA,SF,23,4,NBA,TOR,43,1433,0.48,14.8,0.497,0.256,0.173,0.04,0.027,0.503,0.562,0.759,0.344,0.381,0.357,0.398,0.51,0.971,0.116,55,0.467,0.41,1,0
29469,2021,4871,Obi Toppin,NA,PF,22,1,NBA,NYK,62,683,0.498,12.5,0.593,0.392,0.129,0.043,0.029,0.407,0.629,0.695,0.481,0.444,0.667,0.306,0.641,0.962,0.182,34,0.412,0.286,0,0
29470,2021,4872,Onyeka Okongwu,NA,C,20,1,NBA,ATL,50,601,0.644,4,0.98,0.597,0.302,0.06,0.02,0.02,0.658,0.787,0.511,0.222,0.333,0,0.75,NA,0.215,32,0.333,0,0,0
29471,2021,4777,Oshae Brissett,NA,SF,22,2,NBA,IND,21,519,0.483,14.9,0.483,0.325,0.126,0.02,0.013,0.517,0.548,0.735,0.158,0.333,0,0.423,0.725,0.97,0.099,14,0.295,0.522,1,0
29472,2021,4189,Otto Porter Jr.,NA,SF-PF,27,8,NBA,TOT,28,606,0.432,16.9,0.542,0.137,0.154,0.11,0.141,0.458,0.48,0.774,0.314,0.48,0.375,0.375,0.61,0.974,0.004,1,0.288,0.467,1,0
29473,2021,4189,Otto Porter Jr.,NA,SF,27,8,NBA,CHI,25,540,0.441,17.1,0.53,0.129,0.153,0.109,0.139,0.47,0.477,0.769,0.323,0.5,0.357,0.4,0.588,1,0.005,1,0.316,0.467,1,0
29474,2021,4189,Otto Porter Jr.,NA,PF,27,8,NBA,ORL,3,66,0.36,15.8,0.64,0.2,0.16,0.12,0.16,0.36,0.5,0.8,0.25,0.333,0.5,0.111,0.75,0,0,0,0,NA,0,0
29475,2021,3698,P.J. Tucker,NA,PF,35,10,NBA,TOT,52,1356,0.373,17.2,0.328,0.186,0.096,0.034,0.011,0.672,0.448,0.515,0.412,0.167,0.5,0.336,0.808,1,0,0,0.849,0.347,0,0
29476,2021,3698,P.J. Tucker,NA,PF,35,10,NBA,HOU,32,959,0.366,16.9,0.344,0.198,0.099,0.031,0.015,0.656,0.467,0.5,0.462,0.25,0.5,0.314,0.81,1,0,0,0.826,0.338,0,0
29477,2021,3698,P.J. Tucker,NA,PF,35,10,NBA,MIL,20,397,0.391,18.1,0.283,0.152,0.087,0.043,0,0.717,0.385,0.571,0.25,0,NA,0.394,0.8,1,0,0,0.909,0.367,0,0
29478,2021,4778,P.J. Washington,NA,PF,22,2,NBA,CHO,64,1954,0.44,13.4,0.577,0.283,0.233,0.036,0.025,0.423,0.48,0.613,0.375,0.28,0.235,0.386,0.805,0.946,0.087,48,0.224,0.415,1,0
29479,2021,4557,PJ Dozier,NA,SG,24,4,NBA,DEN,50,1088,0.417,14.5,0.58,0.239,0.186,0.076,0.079,0.42,0.49,0.682,0.364,0.259,0.429,0.315,0.564,0.872,0.051,12,0.315,0.298,2,0
29480,2021,4436,Pascal Siakam,NA,PF,26,5,NBA,TOR,56,2006,0.455,11.6,0.744,0.241,0.324,0.091,0.088,0.256,0.509,0.69,0.424,0.425,0.412,0.297,0.341,0.836,0.041,36,0.215,0.283,1,0
29481,2021,4354,Pat Connaughton,NA,SG,28,6,NBA,MIL,69,1575,0.434,19.5,0.297,0.204,0.062,0.013,0.018,0.703,0.583,0.709,0.333,0.4,0.143,0.371,0.791,0.97,0.028,9,0.221,0.383,1,0
29482,2021,4124,Patrick Beverley,NA,PG,32,9,NBA,LAC,37,832,0.423,18.2,0.359,0.173,0.132,0.032,0.023,0.641,0.468,0.5,0.483,0.286,0.4,0.397,0.378,0.929,0,0,0.291,0.463,0,0
29483,2021,4438,Patrick McCaw,NA,SF,25,5,NBA,TOR,5,33,1,1.3,1,1,0,0,0,0,1,1,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0
29484,2021,3967,Patrick Patterson,NA,PF,31,11,NBA,LAC,38,582,0.436,18.6,0.321,0.182,0.079,0.042,0.018,0.679,0.604,0.7,0.462,0.571,0.333,0.357,0.656,0.975,0.048,7,0.446,0.34,1,0
29485,2021,4873,Patrick Williams,NA,PF,19,1,NBA,CHI,71,1983,0.483,12.2,0.739,0.29,0.178,0.133,0.138,0.261,0.515,0.673,0.394,0.443,0.411,0.391,0.736,0.981,0.102,51,0.413,0.421,1,1
29486,2021,3898,Patty Mills,NA,PG,32,12,NBA,SAS,68,1685,0.412,20.7,0.298,0.111,0.057,0.028,0.101,0.702,0.5,0.574,0.457,0.353,0.484,0.375,0.549,0.783,0,0,0.147,0.46,0,0
29487,2021,3968,Paul George,NA,SF,30,11,NBA,LAC,54,1821,0.467,16.2,0.563,0.185,0.146,0.113,0.12,0.437,0.51,0.636,0.403,0.444,0.509,0.411,0.277,0.673,0.024,19,0.18,0.56,4,0
29488,2021,3701,Paul Millsap,NA,PF,35,15,NBA,DEN,56,1162,0.476,12.5,0.643,0.244,0.309,0.08,0.01,0.357,0.55,0.694,0.5,0.375,0,0.343,0.613,0.98,0.04,13,0.196,0.464,0,0
29489,2021,4874,Paul Reed,NA,PF,21,1,NBA,PHI,26,177,0.538,6.2,0.923,0.551,0.244,0.051,0.077,0.077,0.583,0.721,0.316,0.5,0.5,0,0.667,NA,0.205,14,0.333,0,0,0
29490,2021,4779,Paul Watson,NA,SF,26,2,NBA,TOR,27,297,0.463,20.5,0.22,0.098,0.085,0.037,0,0.78,0.444,0.875,0.143,0,NA,0.469,0.375,0.867,0.024,2,0.406,0.5,0,0
29491,2021,4875,Payton Pritchard,NA,SG,23,1,NBA,BOS,66,1268,0.44,18.7,0.407,0.146,0.139,0.065,0.057,0.593,0.482,0.639,0.379,0.37,0.458,0.411,0.378,0.843,0,0,0.153,0.447,1,0
29492,2021,4876,Precious Achiuwa,NA,PF,21,1,NBA,MIA,61,737,0.544,3.3,0.996,0.667,0.263,0.039,0.026,0.004,0.546,0.645,0.367,0.333,0.167,0,0.734,NA,0.259,48,0,NA,0,0
29493,2021,4441,Quinn Cook,NA,PG,27,5,NBA,TOT,23,157,0.426,15.5,0.618,0.235,0.103,0.088,0.191,0.382,0.429,0.375,0.571,0.5,0.385,0.423,0.333,0.455,0,0,0.308,0.25,0,0
29494,2021,4441,Quinn Cook,NA,PG,27,5,NBA,LAL,16,62,0.462,18.4,0.5,0.154,0.038,0.115,0.192,0.5,0.538,0.25,1,0.667,0.6,0.385,0.429,0.4,0,0,0.308,0.25,0,0
29495,2021,4441,Quinn Cook,NA,PG,27,5,NBA,CLE,7,95,0.405,13.7,0.69,0.286,0.143,0.071,0.19,0.31,0.379,0.417,0.5,0.333,0.25,0.462,0.273,0.5,0,0,0.308,0.25,0,0
29496,2021,4780,Quinndary Weatherspoon,NA,SG,24,2,NBA,SAS,20,121,0.457,9.6,0.829,0.486,0.114,0.057,0.171,0.171,0.517,0.706,0.25,0.5,0.167,0.167,0.4,1,0.057,2,0,NA,0,0
29497,2021,4877,R.J. Hampton,NA,SG-PG,19,1,NBA,TOT,51,888,0.435,12.3,0.722,0.246,0.272,0.118,0.086,0.278,0.482,0.662,0.376,0.378,0.444,0.31,0.358,0.926,0.045,11,0.253,0.5,1,0
29498,2021,4877,R.J. Hampton,NA,PG,19,1,NBA,DEN,25,233,0.417,12.3,0.7,0.25,0.283,0.15,0.017,0.3,0.476,0.533,0.353,0.556,1,0.278,0.35,1,0.05,3,0.333,0.5,1,0
29499,2021,4877,R.J. Hampton,NA,SG,19,1,NBA,ORL,26,655,0.439,12.3,0.727,0.245,0.269,0.111,0.103,0.273,0.484,0.694,0.382,0.321,0.423,0.319,0.36,0.909,0.043,8,0.232,0.5,0,0
29500,2021,4781,RJ Barrett,NA,SG,20,2,NBA,NYK,72,2511,0.441,11.5,0.708,0.325,0.228,0.087,0.069,0.292,0.457,0.605,0.318,0.315,0.397,0.401,0.353,0.976,0.04,39,0.427,0.424,1,0
29501,2021,3704,Rajon Rondo,NA,PG,34,15,NBA,TOT,45,770,0.442,13.5,0.586,0.326,0.195,0.023,0.042,0.414,0.468,0.6,0.262,0.4,0.444,0.404,0.136,0.639,0,0,0.112,0.4,0,0
29502,2021,3704,Rajon Rondo,NA,PG,34,15,NBA,ATL,27,402,0.4,13.4,0.591,0.327,0.182,0.036,0.045,0.409,0.415,0.611,0.1,0.25,0.4,0.378,0.148,0.588,0,0,0.133,0.5,0,0
29503,2021,3704,Rajon Rondo,NA,PG,34,15,NBA,LAC,18,368,0.486,13.5,0.581,0.324,0.21,0.01,0.038,0.419,0.525,0.588,0.409,1,0.5,0.432,0.125,0.684,0,0,0.091,0.25,0,0
29504,2021,4358,Raul Neto,NA,PG,28,6,NBA,WAS,64,1403,0.468,13.7,0.633,0.172,0.315,0.105,0.04,0.367,0.512,0.61,0.489,0.511,0.278,0.39,0.421,0.938,0,0,0.274,0.356,2,0
29505,2021,4665,Ray Spalding,NA,C,23,2,NBA,HOU,2,19,0.5,8.1,0.75,0.5,0.25,0,0,0.25,0.667,0.5,1,NA,NA,0,1,NA,0,0,1,0,0,0
29506,2021,4782,Rayjon Tucker,NA,PG,23,2,NBA,PHI,14,68,0.5,11.8,0.611,0.556,0,0,0.056,0.389,0.636,0.7,NA,NA,0,0.286,0.714,0.5,0.167,3,0.286,0,0,0
29507,2021,4194,Reggie Bullock,NA,SF,29,8,NBA,NYK,65,1949,0.442,20.8,0.291,0.087,0.052,0.061,0.091,0.709,0.521,0.633,0.379,0.5,0.51,0.41,0.859,0.975,0.002,1,0.317,0.468,1,0
29508,2021,4050,Reggie Jackson,NA,SG,30,10,NBA,LAC,67,1544,0.45,16.2,0.518,0.188,0.166,0.094,0.07,0.482,0.465,0.609,0.361,0.345,0.488,0.433,0.262,0.844,0.015,8,0.22,0.5,1,0
29509,2021,4878,Reggie Perry,NA,PF,20,1,NBA,BRK,26,211,0.41,8.9,0.731,0.551,0.141,0.026,0.013,0.269,0.491,0.628,0,0.5,0,0.19,0.643,1,0.09,7,0.19,0,0,0
29510,2021,4359,Richaun Holmes,NA,C,27,6,NBA,SAC,61,1782,0.637,6.9,0.981,0.405,0.283,0.257,0.035,0.019,0.645,0.747,0.552,0.622,0.4,0.182,0.816,1,0.165,91,0.182,0,1,0
29511,2021,4051,Ricky Rubio,NA,PG,30,10,NBA,MIN,68,1772,0.388,14.8,0.57,0.221,0.149,0.131,0.07,0.43,0.447,0.582,0.338,0.415,0.314,0.308,0.394,0.939,0.002,1,0.327,0.343,0,0
29512,2021,4197,Robert Covington,NA,PF,30,8,NBA,POR,70,2243,0.401,19.6,0.301,0.181,0.075,0.016,0.029,0.699,0.451,0.587,0.211,0.125,0.4,0.379,0.652,0.948,0.031,10,0.126,0.244,1,0
29513,2021,4879,Robert Franks,NA,PF,24,1,NBA,ORL,7,101,0.464,16.4,0.464,0.214,0.143,0.036,0.071,0.536,0.615,1,0.5,0,0,0.333,0.25,1,0,0,0.2,0.333,0,0
29514,2021,4666,Robert Williams,NA,C,23,3,NBA,BOS,52,985,0.721,4.1,0.992,0.643,0.244,0.054,0.05,0.008,0.727,0.801,0.651,0.643,0.231,0,0.737,NA,0.388,93,0,NA,2,0
29515,2021,4880,Robert Woodard II,NA,SF,21,1,NBA,SAC,13,45,0.4,14.6,0.7,0.25,0.25,0.1,0.1,0.3,0.5,1,0,0.5,0.5,0.167,0.571,1,0.1,2,0,NA,1,0
29516,2021,3845,Robin Lopez,NA,C,32,13,NBA,WAS,71,1354,0.633,5.4,0.958,0.318,0.595,0.042,0,0.042,0.649,0.696,0.648,0.333,NA,0.278,0.617,1,0.08,32,0.722,0.154,0,0
29517,2021,4667,Rodions Kurucs,NA,SF-PF,22,3,NBA,TOT,21,125,0.344,17.9,0.344,0.25,0.031,0.031,0.031,0.656,0.455,0.625,0,0,0,0.286,0.8,1,0.094,2,0.238,0.4,0,0
29518,2021,4667,Rodions Kurucs,NA,PF,22,3,NBA,BRK,5,16,0.333,23.6,0.333,0,0,0,0.333,0.667,0,NA,NA,NA,0,0.5,NA,1,0,0,0.5,1,0,0
29519,2021,4667,Rodions Kurucs,NA,SF,22,3,NBA,HOU,11,75,0.238,18.2,0.286,0.286,0,0,0,0.714,0.5,0.5,NA,NA,NA,0.133,1,1,0.143,2,0.267,0.25,0,0
29520,2021,4667,Rodions Kurucs,NA,SF,22,3,NBA,MIL,5,34,0.625,15,0.5,0.25,0.125,0.125,0,0.5,0.5,1,0,0,NA,0.75,0.5,1,0,0,0,NA,0,0
29521,2021,4285,Rodney Hood,NA,SF,28,7,NBA,TOT,55,942,0.362,17,0.565,0.092,0.162,0.192,0.119,0.435,0.408,0.583,0.286,0.42,0.419,0.301,0.3,0.794,0.012,2,0.363,0.244,1,0
29522,2021,4285,Rodney Hood,NA,SF,28,7,NBA,POR,38,726,0.363,16.7,0.582,0.095,0.164,0.204,0.119,0.418,0.41,0.526,0.273,0.439,0.458,0.298,0.313,0.76,0.015,2,0.321,0.222,0,0
29523,2021,4285,Rodney Hood,NA,SF,28,7,NBA,TOR,17,216,0.356,17.9,0.508,0.085,0.153,0.153,0.119,0.492,0.4,0.8,0.333,0.333,0.286,0.31,0.25,0.889,0,0,0.483,0.286,1,0
29524,2021,4442,Rodney McGruder,NA,SG,29,5,NBA,DET,16,194,0.529,12.1,0.657,0.257,0.286,0.086,0.029,0.343,0.565,0.722,0.55,0.167,0.5,0.458,0.462,1,0,0,0.542,0.385,0,0
29525,2021,4783,Romeo Langford,NA,SG,21,2,NBA,BOS,18,283,0.356,11.7,0.695,0.339,0.186,0.102,0.068,0.305,0.39,0.65,0.273,0,0,0.278,0.375,1,0.051,3,0.444,0.25,0,0
29526,2021,4360,Rondae Hollis-Jefferson,NA,PF,26,6,NBA,POR,11,107,0.5,4.6,0.944,0.556,0.333,0.056,0,0.056,0.529,0.5,0.5,1,NA,0,0.444,NA,0.056,1,1,0,0,0
29527,2021,4560,Royce O'Neale,NA,SF,27,4,NBA,UTA,71,2241,0.444,19,0.294,0.193,0.079,0.01,0.013,0.706,0.586,0.737,0.323,0.5,0,0.385,0.603,0.981,0.051,18,0.306,0.424,0,0
29528,2021,3713,Rudy Gay,NA,PF,34,15,NBA,SAS,63,1358,0.42,17.1,0.557,0.121,0.139,0.172,0.126,0.443,0.451,0.605,0.448,0.407,0.367,0.381,0.405,0.896,0.037,19,0.183,0.314,2,0
29529,2021,4199,Rudy Gobert,NA,C,28,8,NBA,UTA,71,2187,0.675,2.7,0.993,0.77,0.209,0.005,0.009,0.007,0.68,0.798,0.281,0,0.2,0,0.767,NA,0.432,231,0.25,0,3,0
29530,2021,4784,Rui Hachimura,NA,PF,22,2,NBA,WAS,57,1797,0.478,12.3,0.789,0.221,0.238,0.154,0.176,0.211,0.519,0.748,0.442,0.43,0.412,0.328,0.74,1,0.1,58,0.307,0.286,0,0
